LDA6Topic4,LDA9Topic2,LDA11Topic4,LDA11Topic10,LDA12Topic1,LDA12Topic2,LDA12Topic6,LDA12Topic11,LDA13Topic11,LDA14Topic10,LDA17Topic7,LDA17Topic12,LDA19Topic15
0.198113208,0.28440367,0.72972973,0.009009009,0.008928571,0.008928571,0.008928571,0.008928571,0.008849558,0.00877193,0.008547009,0.008547009,0.008403361
0.539473684,0.265822785,0.012345679,0.012345679,0.012195122,0.012195122,0.012195122,0.012195122,0.13253012,0.011904762,0.011494253,0.011494253,0.011235955
0.038461538,0.724137931,0.35483871,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.323529412,0.027027027,0.027027027,0.025641026
0.0625,0.052631579,0.047619048,0.523809524,0.045454545,0.045454545,0.045454545,0.045454545,0.043478261,0.041666667,0.037037037,0.037037037,0.034482759
0.017857143,0.016949153,0.016393443,0.016393443,0.016129032,0.016129032,0.016129032,0.016129032,0.015873016,0.015625,0.014925373,0.014925373,0.739130435
0.027777778,0.025641026,0.756097561,0.024390244,0.023809524,0.023809524,0.023809524,0.023809524,0.023255814,0.022727273,0.021276596,0.021276596,0.020408163
0.038461538,0.034482759,0.032258065,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.297297297,0.027027027,0.282051282
0.0625,0.052631579,0.047619048,0.047619048,0.045454545,0.045454545,0.045454545,0.045454545,0.043478261,0.041666667,0.037037037,0.037037037,0.034482759
0.375,0.355932203,0.016393443,0.016393443,0.016129032,0.016129032,0.338709677,0.016129032,0.015873016,0.015625,0.014925373,0.014925373,0.15942029
0.375,0.355932203,0.180327869,0.016393443,0.016129032,0.016129032,0.016129032,0.016129032,0.015873016,0.015625,0.014925373,0.014925373,0.014492754
0.02173913,0.020408163,0.019607843,0.019607843,0.019230769,0.019230769,0.019230769,0.019230769,0.018867925,0.018518519,0.01754386,0.719298246,0.355932203
0.427083333,0.515151515,0.00990099,0.00990099,0.009803922,0.009803922,0.009803922,0.009803922,0.009708738,0.009615385,0.009345794,0.009345794,0.009174312
